group,id,material,mode,layout,name,seed,ticks,hash,data_sha256,completed_ticks,peak_depth,final_depth,late_creep,floor_contact_tick,grounded_ticks,max_overlap,intermediate_caps,final_caps,displaced,unresolved,max_sample_age,stale,duplicates,water_delta,global_water_delta,water_below_floor,counts_conserved,overflow,tick_p50_us,tick_p95_us,tick_max_us,coupling_p50_us,coupling_p95_us,coupling_max_us,displacement_impulse_x,displacement_impulse_y,pre_floor_displacement_y,boundary_impulse_x,boundary_impulse_y,pre_floor_boundary_y,contact_impulse_x,contact_impulse_y,pre_floor_contact_y,applied_impulse_x,applied_impulse_y,pre_floor_applied_y,visual,displacement,boundary,contact,cap,density_limit,mass,damping,friction,delay,duplicate,telemetry,workers,serial,fallback,drop,angle,size,speed,conservation
godot-controls-final,009-barrel-Sand-flat-s04,2,barrel,flat,barrel-Sand-flat,4,1800,3313023ffb05c61a,6a2714897cad07e5d5cd8915c1f9eac4155a769d88a11dfc0881c421e26f8a5d,1800,384.001748592451,384.001743145531,,156,0,112,19220,1735,133,125283,0,0,0,0,,,False,0,602.0,985.0,7578.0,183.0,359.0,546.0,-1467.21044921875,4135.8603515625,-598.965454101563,-2.12799978256226,3940.9716796875,-57.1519927978516,1.41561031341553e-07,16382.0283203125,1191.15954589844,-234.711685180664,5138.5224609375,211.828033447266,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,010-barrel-Dust-flat-s00,14,barrel,flat,barrel-Dust-flat,0,1800,287981c1b42f9c5e,a3f53183a8bbc8086023b9e1ec1aa2a566633020bf92124415363fcbb6758d41,1800,384.001938406287,384.001022649008,,153,0,112,17537,122,134,125220,0,0,0,0,,,False,0,23.0,1024.0,6954.0,180.0,311.0,740.0,801.993713378906,4151.93701171875,-591.305297851563,-5.10719919204712,1033.19055175781,-14.9226016998291,-0.0499999783933163,1315.91796875,1067.4375,581.718078613281,4974.4755859375,217.196182250977,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,010-barrel-Dust-flat-s01,14,barrel,flat,barrel-Dust-flat,1,1800,6c9a75b1d98cfab9,3eecc3292d433bd2d21babdaceafb0ee67dfd47298223844fdd292c2469f6ff2,1800,384.001865802456,384.001865487597,,165,0,112,19654,1729,133,130484,0,0,0,0,,,False,0,774.0,1217.0,7646.0,214.0,378.0,633.0,2355.39208984375,4099.24462890625,-609.721801757813,-1.59600007534027,1027.36560058594,-16.4388008117676,65.4161148071289,14309.5126953125,1090.60095214844,481.522338867188,5070.5126953125,189.525238037109,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,010-barrel-Dust-flat-s02,14,barrel,flat,barrel-Dust-flat,2,1800,548ecd333a00f829,f137d9f60b6ca8c1efa6f34b6636b68c7c5d1c8032b4ac972ac316d1fb88f927,1800,384.002334610456,384.001866288589,,170,0,112,14703,1722,173,118908,0,0,0,0,,,False,0,762.0,1753.0,10393.0,185.0,351.0,599.0,-410.073272705078,3884.7841796875,-587.157287597656,-1.1172000169754,1023.77453613281,-16.5984020233154,10.0649948120117,4513.029296875,1077.97290039063,-375.289306640625,5029.01806640625,171.627166748047,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,010-barrel-Dust-flat-s03,14,barrel,flat,barrel-Dust-flat,3,1800,e68cec4ddc126611,6cf42956f93decc4f39c6dfa683307a63dc3481eb103bd01740859da449a66cc,1800,384.001753254856,384.001738565662,,151,0,112,17567,1742,120,136659,0,0,0,0,,,False,0,651.0,1117.0,8022.0,196.0,381.0,615.0,-1197.61706542969,4166.20361328125,-583.01123046875,-1.75560009479523,1037.89965820313,-14.8428020477295,-0.0499999783933163,15163.8203125,1105.84387207031,-260.412292480469,5177.70947265625,237.64453125,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,010-barrel-Dust-flat-s04,14,barrel,flat,barrel-Dust-flat,4,1800,399562e1deb98f8a,db09c94cc8dd2679bc68d1ad869ad79dca9c4917bc55fdfbbfab251b23b55b43,1800,384.001876127008,384.001869169912,,154,0,112,26607,1735,123,131855,0,0,0,0,,,False,0,742.0,1283.0,9092.0,200.0,399.0,659.0,-2668.93359375,4141.31884765625,-599.340454101563,-1.67580008506775,1035.984375,-14.8428020477295,-66.0111312866211,14562.8681640625,1057.32495117188,-586.471374511719,5122.15771484375,217.927322387695,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,011-barrel-Salt-flat-s00,23,barrel,flat,barrel-Salt-flat,0,1800,39356ec10ff9ea48,abddc11c88af9555ef0f87104a2205a70b907598cc2498df63c8dcf70421a2f8,1800,384.002147190076,384.001439800166,,155,0,112,21820,294,153,133524,0,0,0,0,,,False,0,26.0,1692.0,9667.0,186.0,347.0,826.0,1844.72155761719,4141.14306640625,-596.65234375,-1.21599876880646,3943.09936523438,-57.1519927978516,5.83999729156494,3181.68872070313,1204.31945800781,516.325073242188,5007.7548828125,215.162826538086,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,011-barrel-Salt-flat-s01,23,barrel,flat,barrel-Salt-flat,1,1800,93f11f81606886c1,f2baa26a183ff403eadf2ac6293328dae20a89553f4fecf8b10be5ed247d21e7,1800,384.001748570653,384.001748046487,,156,0,112,19185,1735,135,125252,0,0,0,0,,,False,0,843.0,1403.0,10191.0,185.0,359.0,615.0,-1475.13012695313,4144.06005859375,-590.760375976563,-2.73599863052368,3940.66748046875,-57.4559936523438,-0.199999898672104,16381.3876953125,1190.51953125,-225.304916381836,5137.8505859375,211.156463623047,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,011-barrel-Salt-flat-s02,23,barrel,flat,barrel-Salt-flat,2,1800,19821aefb1e06fd8,e5fc2b5284d1d5515332c42d7ad78a9ff9ad8135ed57f945b622931cc72a42c8,1800,384.001934072835,384.001932523249,,158,0,112,19106,1733,127,138522,0,0,0,0,,,False,0,740.0,1331.0,11119.0,198.0,386.0,598.0,-1476.00854492188,4145.634765625,-583.44970703125,-2.73599863052368,3935.8037109375,-57.4559936523438,-0.159999877214432,3235.4970703125,1192.07946777344,-686.598693847656,5079.0341796875,202.061462402344,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,011-barrel-Salt-flat-s03,23,barrel,flat,barrel-Salt-flat,3,1800,b364c4adb40b9496,c11ea271c10ca8bd4426abcf609dfc9bc505e881059905a4b26131b3661eaade,1800,384.001743594097,384.001739157996,,154,0,112,17227,1736,128,136697,0,0,0,0,,,False,0,917.0,1404.0,10137.0,243.0,410.0,886.0,-1165.68798828125,4153.50146484375,-587.071044921875,-3.34399890899658,3945.53125,-57.4559936523438,-0.159999877214432,17638.51953125,1178.51953125,-182.854904174805,5144.24853515625,209.705459594727,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,011-barrel-Salt-flat-s04,23,barrel,flat,barrel-Salt-flat,4,1800,14a24a619c1c02b4,e6f9a62204d193d0f22ec24260af7dc83bde546ccf9f5aefb813c53149618a42,1800,384.001748592451,384.001743145531,,156,0,112,19220,1735,133,125283,0,0,0,0,,,False,0,1078.0,1757.0,11404.0,251.0,440.0,1403.0,-1467.21044921875,4135.8603515625,-598.965454101563,-2.12799978256226,3940.9716796875,-57.1519927978516,1.41561031341553e-07,16382.0283203125,1191.15954589844,-234.711685180664,5138.5224609375,211.828033447266,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,012-barrel-Water-flat-s00,3,barrel,flat,barrel-Water-flat,0,1800,2ae5399035861a36,b3aef9c2d1c2b9cf740ba4c191f6a501d9ff698d6d9336537d19373ee8a36c35,1800,384.001970647864,384.00147994701,,344,0,112,17552,33,148,106997,0,0,0,-16065,,,False,0,72.0,6299.0,17553.0,164.0,372.0,605.0,982.290405273438,3531.8857421875,-661.274719238281,-33.6300163269043,2151.19775390625,-51.2999992370605,0.274999976158142,293.475006103516,253.475006103516,454.319458007813,3851.69140625,-325.979888916016,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,012-barrel-Water-flat-s01,3,barrel,flat,barrel-Water-flat,1,1800,b64cfb7ba9635a55,cfd7166ccdd9d18f2d0103a50ad4ff7c185c8c39db82901c7618d1f8630ec857,1800,384.001889402342,384.001016569145,,381,0,112,19705,1419,693,103688,0,0,0,-151332,,,False,0,12890.0,23639.0,28579.0,235.0,383.0,683.0,568.564208984375,3048.77783203125,-781.7509765625,0.379999756813049,2081.08471679688,-51.8700141906738,32.2498092651367,2041.85620117188,273.274993896484,193.893508911133,3697.30151367188,-405.400451660156,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,012-barrel-Water-flat-s02,3,barrel,flat,barrel-Water-flat,2,1800,44d7b83b3be530e4,33c64bcc6fea21b9d243dd5898f66b2d8e0aa27b59f77daefe134a3c28e9c63d,1800,384.002021389535,384.00029361532,,355,0,112,21671,1445,1803,101745,0,0,0,-426760,,,False,0,20765.0,25721.0,34426.0,235.0,375.0,1064.0,450.0537109375,3196.27075195313,-703.999206542969,0.379999935626984,2114.90405273438,-50.7300071716309,22.2499809265137,2023.1298828125,256.299987792969,121.406356811523,3739.47485351563,-360.988800048828,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,012-barrel-Water-flat-s03,3,barrel,flat,barrel-Water-flat,3,1800,de7e5e402bde43d3,c272a48c1a299f8e3718de63c959b2f32d832b4713c9e153281f351df9deadf2,1800,384.614624023438,384.000224751791,,352,0,112,18296,1447,181,102586,0,0,0,-22695,,,False,0,5948.0,11564.0,27299.0,245.0,410.0,1483.0,1156.91809082031,3205.14135742188,-701.104064941406,-0.190000116825104,2143.40893554688,-54.1500091552734,23.5499229431152,2079.7841796875,259.200012207031,453.021697998047,3894.04248046875,-349.792755126953,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,012-barrel-Water-flat-s04,3,barrel,flat,barrel-Water-flat,4,1800,7c1ba0f4ecd91c11,35d03bd01e43a8828bf6a22c43c884f19ae848b41b9753c84e11bfe261cb30a3,1800,384.659362792969,384.001739902387,,311,0,112,14535,1489,156,97158,0,0,0,-17340,,,False,0,3128.0,7198.0,22648.0,251.0,463.0,1916.0,0.218817174434662,3648.234375,-640.744384765625,-2.38418579101563e-07,2210.67016601563,-52.6300048828125,0.175000011920929,2158.52490234375,297.274993896484,-86.4099197387695,4202.53466796875,-263.587860107422,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,013-barrel-Oil-flat-s00,16,barrel,flat,barrel-Oil-flat,0,1800,c7bf8d17a0dd44f2,bccca72ecdc1d94e3cee571b2bdf26531e939975b6e7edc53321bf4ea98ff744,1800,384.002187401291,384.00025002394,,148,0,112,20451,1691,929,103936,0,0,0,0,,,False,0,6486.0,15926.0,29345.0,249.0,393.0,590.0,805.011474609375,3739.51049804688,-572.775573730469,7.14399766921997,1965.31982421875,-29.1839962005615,311.159820556641,12227.7998046875,1141.09973144531,263.449798583984,5115.97900390625,245.315719604492,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,013-barrel-Oil-flat-s01,16,barrel,flat,barrel-Oil-flat,1,1800,1b5db1afc0bfaa75,ae3996fc5214227b3d03f4c624c3c3c55df29f576df6e88556c26d4c5245959a,1800,384.001833557196,384.001733440791,,148,0,112,18938,1743,119,138138,0,0,0,0,,,False,0,2329.0,4529.0,16272.0,260.0,382.0,767.0,-1489.005859375,4178.95751953125,-578.902770996094,1.21599984169006,1980.06127929688,-28.7279949188232,-12.2400016784668,16197.6005859375,1131.1796875,-268.537261962891,5184.826171875,237.917419433594,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,013-barrel-Oil-flat-s02,16,barrel,flat,barrel-Oil-flat,2,1800,49a694a94027d6ab,f52f3b5fe2b9821dd6039e62dbe27f22a3d800a474e4f0f2cb7bb2a2b3a30f63,1800,384.002001514072,384.001785077116,,152,0,112,17248,1737,129,124755,0,0,0,0,,,False,0,2069.0,4506.0,16038.0,241.0,386.0,528.0,1752.87561035156,3863.0234375,-586.738647460938,1.51999962329865,1975.50158691406,-28.2719955444336,31.3199901580811,11898.296875,1102.57995605469,455.745910644531,5131.99267578125,219.679229736328,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,013-barrel-Oil-flat-s03,16,barrel,flat,barrel-Oil-flat,3,1800,59ba7a3d4231d0b0,481da204b9b09fb2ff551de78837af40c98e3b7f5777ca2c78b78aa55cddb7b1,1800,384.001776088308,384.001680937572,,147,0,112,14077,1746,132,124786,0,0,0,0,,,False,0,1740.0,4543.0,15256.0,242.0,404.0,859.0,596.734252929688,3893.90869140625,-569.144836425781,-0.303999841213226,1981.73327636719,-28.2719993591309,-9.98002433776855,14759.3994140625,1138.37976074219,92.985725402832,5207.044921875,250.608032226563,True,,,,,,,,,,,,,,,,,,,
