normal_index,nx,ny,level,coverage,alpha,area,absolute_area_error
13,0.38268343236509,-0.923879532511287,3,0.75,0.23096988312782168,0.75,0.0
13,0.38268343236509,-0.923879532511287,4,1.0,0.6532814824381885,1.0,0.0
14,0.707106781186547,-0.707106781186548,1,0.25,-0.20710678118654752,0.25,0.0
14,0.707106781186547,-0.707106781186548,2,0.5,-6.133173666733496e-19,0.49999999999999994,5.551115123125783e-17
14,0.707106781186547,-0.707106781186548,3,0.75,0.20710678118654746,0.7499999999999999,1.1102230246251565e-16
14,0.707106781186547,-0.707106781186548,4,1.0,0.7071067811865475,1.0,0.0
15,0.923879532511287,-0.38268343236509,1,0.25,-0.2309698831278218,0.25,0.0
15,0.923879532511287,-0.38268343236509,2,0.5,-2.7764936738158165e-17,0.49999999999999994,5.551115123125783e-17
15,0.923879532511287,-0.38268343236509,3,0.75,0.23096988312782168,0.75,0.0
15,0.923879532511287,-0.38268343236509,4,1.0,0.6532814824381885,1.0,0.0
